#chr	start	end	length	cnt_indels
chr3	22423909	22423927	19	2
chr3	23145647	23145662	16	2
chr3	30003465	30003484	20	2
chr3	31899375	31899391	17	2
chr3	32255794	32255814	21	2
chr3	38440132	38440148	17	2
chr3	40550508	40550533	26	3
chr3	41051691	41051715	25	3
chr3	43004904	43004935	32	2
chr3	49839551	49839569	19	2
chr3	50505810	50505836	27	2
chr3	55810207	55810227	21	2
chr3	56168952	56168964	13	2
chr3	58289229	58289242	14	2
chr3	61357793	61357813	21	2
chr3	61789139	61789171	33	2
chr3	69569186	69569201	16	2
chr3	72583491	72583509	19	2
chr3	72701946	72701960	15	2
chr3	76538234	76538237	4	2
chr3	87102188	87102208	21	2
chr3	98326853	98326875	23	2
chr3	99982076	100020079	38004	2
chr3	102369287	102369302	16	2
chr3	108146445	108146464	20	2
chr3	114829850	114829864	15	2
chr3	119313255	119313275	21	2
chr3	122287157	122287177	21	2
chr3	129006035	129006047	13	2
chr3	134051696	134051711	16	2
chr3	134576991	134577003	13	2
chr3	144981411	144981427	17	2
chr3	145125194	145125205	12	2
chr3	148819118	148819142	25	2
chr3	149035526	149035545	20	2
chr3	151750143	151750162	20	2
chr3	152445495	152445526	32	2
chr3	153386859	153386881	23	2
chr3	160142810	160142834	25	2
chr3	161917605	161917617	13	2
chr3	162666186	162666204	19	2
chr3	164200031	164200051	21	2
chr3	172519884	172519913	30	2
chr3	174940884	174940898	15	2
chr3	183408536	183408555	20	3
chr3	186705023	186705042	20	2
chr3	187559282	187559297	16	2
chr3	188242669	188242685	17	2
chr3	189722790	189722818	29	2
chr4	67264	104330	37067	2
chr4	998878	1005196	6319	2
chr4	6300192	6300216	25	2
chr4	7659335	7659352	18	2
chr4	9927195	10009944	82750	2
chr4	10159402	10159425	24	2
chr4	18955414	18955434	21	2
chr4	33188283	33188299	17	2
chr4	35823337	35823350	14	2
chr4	36263083	36263102	20	2
chr4	36519964	36519990	27	2
chr4	38947498	38947516	19	2
chr4	39574707	39574721	15	2
chr4	40434704	40434725	22	2
chr4	42100401	42100416	16	2
chr4	47016909	47016925	17	2
chr4	53809388	53809403	16	2
chr4	54946331	54946343	13	2
chr4	65124662	65124674	13	2
chr4	67975730	67975739	10	2
chr4	73495249	73495271	23	2
chr4	73933671	73933702	32	3
chr4	78788696	78788712	17	2
chr4	83215375	83215449	75	2
chr4	88741445	88741460	16	2
chr4	89762138	89762172	35	2
chr4	93406451	93406455	5	2
chr4	99994613	100004766	10154	2
chr4	100427541	100427566	26	3
chr4	100451038	100451051	14	2
chr4	103323866	103323881	16	2
chr4	103979910	103979957	48	2
chr4	104606144	104606160	17	2
chr4	108141679	108141699	21	2
chr4	109238724	109238739	16	2
chr4	110304830	110304849	20	2
chr4	118849141	118849157	17	2
chr4	120677626	120677639	14	2
chr4	134891219	134891230	12	2
chr4	136833098	136833130	33	2
chr4	140811083	140811096	14	2
chr4	141100794	141100809	16	2
chr4	142007181	142007197	17	2
chr4	147416918	147416934	17	2
chr4	148016457	148016470	14	2
chr4	150876121	150876139	19	3
chr4	155475532	155475549	18	2
chr4	159666325	159666341	17	2
chr4	161765966	161765990	25	2
chr4	164778167	164778183	17	2
chr4	165936266	165936295	30	2
chr4	170863328	170863350	23	2
chr4	171654920	171654941	22	2
chr4	180525464	180525483	20	2
chr4	181487084	181487101	18	2
chr4	184970458	184970470	13	2
chr4	190368629	190368645	17	2
chr5	48935	158787	109853	2
chr5	676926	676942	17	2
chr5	990637	1003556	12920	2
chr5	1960958	1960969	12	2
chr5	2540362	2540390	29	4
chr5	6238764	6238780	17	2
chr5	6501417	6501433	17	2
chr5	9997738	10037692	39955	2
chr5	21923047	21923083	37	2
chr5	22399299	22399315	17	2
chr5	24918240	24918254	15	3
chr5	26730734	26730746	13	2
chr5	27174651	27174671	21	2
chr5	31920389	31920405	17	2
chr5	32000585	32000609	25	3
chr5	34991465	34991518	54	2
chr5	35355552	35355578	27	2
chr5	36120093	36120115	23	2
chr5	44719156	44719172	17	2
chr5	53567735	53567751	17	2
chr5	60274083	60274102	20	2
chr5	63571139	63571155	17	2
chr5	72971673	72971690	18	2
chr5	79431404	79431418	15	2
chr5	86361124	86361144	21	2
chr5	99962799	100018613	55815	2
chr5	102649343	102649357	15	2
chr5	104481891	104481908	18	2
chr5	107690961	107690981	21	2
chr5	110211120	110211144	25	2
chr5	111064613	111064641	29	2
chr5	111993278	111993293	16	2
chr5	140092563	140092576	14	2
chr5	141256329	141256360	32	2
chr5	142626809	142626825	17	2
chr5	154139478	154139494	17	2
chr5	158729728	158729748	21	3
chr5	159435858	159435882	25	2
chr5	162174540	162174555	16	2
chr5	163243601	163243629	29	2
chr5	164008292	164008304	13	2
chr5	167427946	167427975	30	2
chr5	168328367	168328377	11	2
chr5	169325532	169325544	13	2
chr5	170884740	170884756	17	2
chr5	173101467	173101483	17	2
chr5	174668383	174668399	17	2
chr5	178273694	178273713	20	2
chr5	178401286	178401307	22	2
chr5	180058912	180058928	17	2
chr6	977189	1004516	27328	2
chr6	1069517	1069534	18	2
chr6	1304655	1304676	22	2
chr6	3627290	3627309	20	2
chr6	4512746	4512766	21	2
chr6	4852817	4852841	25	3
chr6	7074164	7074189	26	2
chr6	8833102	8833118	17	2
chr6	9999624	10010142	10519	2
chr6	10286413	10286431	19	2
chr6	12730715	12730727	13	2
chr6	13366110	13366125	16	2
chr6	27808519	27808544	26	3
chr6	28566466	28566485	20	2
chr6	28666730	28666750	21	2
chr6	31922423	31922452	30	2
chr6	34148764	34148782	19	2
chr6	35831397	35831411	15	2
chr6	36814261	36814277	17	2
chr6	38302420	38302435	16	2
chr6	42154840	42154854	15	2
chr6	43614846	43614886	41	2
chr6	44111300	44111319	20	2
chr6	49329170	49329188	19	2
chr6	49854543	49854564	22	2
chr6	52121289	52121306	18	2
chr6	64230535	64230551	17	2
chr6	65226471	65226489	19	2
chr6	71564753	71564771	19	2
chr6	76452623	76452641	19	2
chr6	77116040	77116065	26	2
chr6	85001387	85001402	16	2
chr6	92076256	92076279	24	2
chr6	99991992	100008420	16429	2
chr6	106963631	106963655	25	2
chr6	109140690	109140720	31	2
chr6	111991804	111991843	40	2
chr6	114333356	114333380	25	2
chr6	123167834	123167843	10	2
chr6	130778430	130778445	16	3
chr6	132553890	132553914	25	2
chr6	135058973	135058987	15	2
chr6	135420886	135420898	13	2
chr6	141900653	141900689	37	2
chr6	142921154	142921166	13	2
chr6	142950297	142950317	21	2
chr6	143652983	143652995	13	2
chr6	143909149	143909164	16	2
chr6	152017606	152017626	21	3
chr6	153663509	153663524	16	2
chr6	158636264	158636277	14	2
chr6	160067581	160067596	16	2
chr6	164962906	164962918	13	2
chr6	167315834	167315858	25	2
chr6	167721063	167721073	11	2
chr6	169326585	169326604	20	2
chr7	86489	127068	40580	2
chr7	996302	1015279	18978	2
chr7	1746060	1746080	21	3
chr7	4363775	4363790	16	2
chr7	5576077	5576093	17	2
chr7	9994633	10024345	29713	2
chr7	13014264	13014284	21	3
chr7	13544787	13544803	17	2
chr7	22471992	22472012	21	2
chr7	24711815	24711830	16	2
chr7	25192269	25192294	26	2
chr7	26331542	26331560	19	2
chr7	28040970	28040995	26	2
chr7	30155842	30155868	27	2
chr7	34489409	34489426	18	2
chr7	36609173	36609189	17	2
chr7	41123603	41123614	12	2
chr7	50423317	50423333	17	2
chr7	62510662	62510674	13	2
chr7	65484738	65484754	17	2
chr7	67238784	67238797	14	2
chr7	67736884	67736900	17	2
chr7	69743566	69743582	17	2
chr7	90653426	90653438	13	2
chr7	92678135	92678150	16	2
chr7	95309565	95309576	12	2
chr7	99987287	100117325	130039	2
chr7	100814461	100814473	13	2
chr7	102857389	102857404	16	2
chr7	106953267	106953287	21	2
chr7	109107965	109107981	17	2
chr7	114656698	114656722	25	2
chr7	117027361	117027373	13	2
chr7	118400410	118400425	16	2
chr7	135225544	135225561	18	3
chr7	135656953	135656969	17	2
chr7	139139596	139139610	15	2
chr7	139781450	139781470	21	2
chr7	155274992	155275012	21	2
chr7	157957219	157957236	18	2
chr7	158939760	158939788	29	2
chr8	980068	1010625	30558	2
chr8	1838151	1838185	35	2
chr8	6452197	6452217	21	2
chr8	9991786	10041432	49647	2
chr8	12960820	12960840	21	3
chr8	17701030	17701042	13	2
chr8	18331307	18331322	16	2
chr8	19723328	19723346	19	2
chr8	22294552	22294579	28	2
chr8	27123079	27123095	17	2
chr8	33281344	33281370	27	2
chr8	36553402	36553429	28	3
chr8	40953860	40953881	22	2
chr8	41685203	41685220	18	2
chr8	52732148	52732165	18	2
chr8	53046270	53046282	13	2
chr8	54975049	54975065	17	2
chr8	66162648	66162656	9	2
chr8	73168377	73168406	30	2
chr8	75133307	75133331	25	2
chr8	79719330	79719346	17	2
chr8	80609861	80609871	11	2
chr8	85464582	85464593	12	2
chr8	92245794	92245811	18	2
chr8	93583495	93583523	29	2
chr8	99998274	100017622	19349	2
chr8	102816713	102816729	17	2
chr8	103898801	103898821	21	2
chr8	111675503	111675518	16	3
chr8	111697151	111697169	19	2
chr8	115332354	115332371	18	2
chr8	121932540	121932555	16	2
chr8	126607095	126607118	24	2
chr8	128875324	128875344	21	2
chr8	135890330	135890346	17	2
chr8	139445766	139445786	21	2
chr8	142317618	142317639	22	2
chr8	143737867	143737887	21	2
chr8	144255288	144255299	12	2
chr9	91184	224768	133585	2
chr9	997747	1047023	49277	2
chr9	2035008	2035024	17	2
chr9	2858833	2858857	25	2
chr9	7524326	7524350	25	2
chr9	9310920	9310940	21	2
chr9	9982478	10013585	31108	2
chr9	15322164	15322174	11	3
chr9	24301221	24301242	22	2
chr9	27056856	27056872	17	2
chr9	32352789	32352810	22	2
chr9	33039533	33039546	14	2
chr9	35885095	35885119	25	2
chr9	37345962	37345977	16	2
chr9	37852928	37852947	20	2
chr9	38304524	38304542	19	2
chr9	75083753	75083767	15	3
chr9	77503542	77503562	21	2
chr9	82653456	82653468	13	2
chr9	83959909	83959929	21	2
chr9	85869238	85869249	12	2
chr9	87451849	87451869	21	2
chr9	92941745	92941751	7	2
chr9	94737670	94737700	31	2
chr9	95132750	95132767	18	2
chr9	95599017	95599029	13	2
chr9	99999674	100000566	893	2
chr9	103366939	103366953	15	2
chr9	104669441	104669477	37	2
chr9	105342312	105342332	21	2
chr9	105684313	105684328	16	2
chr9	118388401	118388425	25	3
chr9	121973442	121973462	21	2
chr9	127473465	127473476	12	2
chr9	129195575	129195616	42	2
chr9	130555737	130555763	27	2
chr9	132824699	132824725	27	2
chr9	136647218	136647233	16	2
chr9	137143556	137143615	60	2
chr9	138877161	138877177	17	2
chr10	968615	968635	21	2
chr10	977223	1036611	59389	2
chr10	1759721	1759742	22	2
chr10	3959433	3959445	13	2
chr10	7388950	7388965	16	2
chr10	9044415	9044427	13	2
chr10	9991710	10037072	45363	2
chr10	19988206	19988224	19	2
chr10	21410931	21410946	16	2
chr10	24841474	24841491	18	2
chr10	28660194	28660212	19	3
chr10	29763523	29763543	21	2
chr10	32932761	32932810	50	3
chr10	37690847	37690867	21	2
chr10	38782329	38782349	21	3
chr10	38791737	38791752	16	2
chr10	39146077	39146102	26	2
chr10	42792767	42792782	16	2
chr10	45502009	45502023	15	2
chr10	58285797	58285814	18	2
chr10	71760195	71760215	21	3
chr10	72080052	72080072	21	3
chr10	74917704	74917719	16	2
chr10	81889278	81889291	14	2
chr10	89712316	89712330	15	2
chr10	94945241	94945258	18	2
chr10	97192768	97192785	18	2
chr10	99789269	99789287	19	2
chr10	99993845	100018367	24523	2
chr10	100841338	100841350	13	2
chr10	105977088	105977111	24	2
chr10	110424273	110424295	23	2
chr10	111259913	111259944	32	3
chr10	114629833	114629848	16	2
chr10	117700189	117700209	21	3
chr10	121939513	121939544	32	2
chr10	123030237	123030255	19	2
chr11	608502	608516	15	2
chr11	991759	1021377	29619	2
chr11	3391427	3391447	21	2
chr11	9005795	9005808	14	2
chr11	9968568	10063378	94811	2
chr11	14757504	14757506	3	2
chr11	16906183	16906204	22	2
chr11	18736574	18736595	22	2
chr11	19966025	19966047	23	2
chr11	20205562	20205575	14	2
chr11	20686077	20686110	34	2
chr11	23453346	23453356	11	2
chr11	26125946	26125964	19	2
chr11	26337209	26337233	25	2
chr11	28088329	28088349	21	2
chr11	32315757	32315781	25	2
chr11	33062310	33062322	13	2
chr11	36305654	36305669	16	2
chr11	36609701	36609720	20	2
chr11	40358525	40358528	4	2
chr11	61863741	61863758	18	2
chr11	62077921	62077937	17	2
chr11	63154303	63154322	20	2
chr11	65819566	65819603	38	2
chr11	66864082	66864094	13	2
chr11	66966230	66966246	17	2
chr11	68387394	68387410	17	2
chr11	69830471	69830494	24	2
chr11	75643309	75643325	17	2
chr11	81920571	81920591	21	2
chr11	83998784	83998813	30	2
chr11	87985710	87985733	24	2
chr11	89888778	89888799	22	2
chr11	90694308	90694323	16	2
chr11	95569292	95569305	14	2
chr11	99997772	100001849	4078	2
chr11	100328604	100328620	17	2
chr11	105198186	105198206	21	3
chr11	106459200	106459214	15	2
chr11	109106061	109106081	21	2
chr11	110022623	110022651	29	2
chr11	111826711	111826723	13	2
chr11	112401410	112401417	8	2
chr11	115506027	115506056	30	2
chr11	115766078	115766098	21	2
chr11	117922540	117922558	19	2
chr11	119087049	119087069	21	2
chr11	120809823	120809844	22	2
chr11	122322795	122322811	17	2
chr11	122486134	122486154	21	2
chr11	123226038	123226053	16	2
chr12	77514	170251	92738	2
chr12	947773	1003766	55994	2
chr12	1024880	1024891	12	2
chr12	1080042	1080061	20	2
chr12	9573279	9573295	17	2
chr12	9982888	10077047	94160	2
chr12	12263979	12263999	21	2
chr12	13153218	13153235	18	2
chr12	13660335	13660346	12	2
chr12	17946240	17946275	36	2
chr12	23285464	23285480	17	2
chr12	24347350	24347366	17	2
chr12	26009597	26009617	21	2
chr12	26725929	26725945	17	2
chr12	27549979	27550011	33	2
chr12	31717495	31717507	13	2
chr12	31790354	31790390	37	2
chr12	31965629	31965650	22	4
chr12	32093083	32093102	20	2
chr12	32987910	32987924	15	3
chr12	43395512	43395528	17	3
chr12	44378167	44378182	16	3
chr12	46042615	46042627	13	2
chr12	48234116	48234138	23	2
chr12	49077494	49077510	17	2
chr12	49297720	49297736	17	2
chr12	49737538	49737565	28	3
chr12	50063614	50063634	21	2
chr12	52070840	52070860	21	2
chr12	53933470	53933486	17	2
chr12	60106772	60106797	26	2
chr12	69529258	69529274	17	2
chr12	71053958	71053974	17	2
chr12	71124799	71124812	14	2
chr12	78544270	78544288	19	3
chr12	81852130	81852140	11	2
chr12	81864886	81864906	21	2
chr12	82611263	82611279	17	2
chr12	85283276	85283300	25	2
chr12	87098993	87099009	17	2
chr12	90358394	90358414	21	3
chr12	94091369	94091383	15	2
chr12	95924422	95924442	21	2
chr12	99954618	100001766	47149	2
chr12	100584884	100584912	29	2
chr12	109853711	109853726	16	2
chr12	114107251	114107267	17	2
chr12	114636208	114636223	16	2
chr12	115036218	115036257	40	4
chr12	116308015	116308040	26	2
chr12	117344225	117344241	17	2
chr12	118178459	118178470	12	2
chr12	121283661	121283677	17	2
chr12	123934952	123934967	16	2
chr12	124316294	124316305	12	2
chr12	126521058	126521106	49	2
chr12	130702644	130702659	16	2
chr13	20357395	20357410	16	2
chr13	23892320	23892343	24	2
chr13	26481501	26481516	16	2
chr13	32616624	32616689	66	2
chr13	44316537	44316555	19	2
chr13	47375353	47375369	17	2
chr13	49453485	49453506	22	2
chr13	51511342	51511358	17	2
chr13	52766743	52766761	19	2
chr13	56554239	56554254	16	2
chr13	64731847	64731861	15	2
chr13	66087684	66087702	19	2
chr13	69191474	69191499	26	2
chr13	70596421	70596437	17	2
chr13	78528613	78528641	29	2
chr13	85774729	85774758	30	2
chr13	95250598	95250618	21	2
chr13	98114278	98114298	21	2
chr13	99803750	99803780	31	2
chr13	99999159	100007417	8259	2
chr13	100850722	100850738	17	2
chr13	101469400	101469417	18	2
chr13	101887186	101887209	24	2
chr13	103194360	103194375	16	2
chr13	105257955	105257979	25	4
chr13	106260317	106260331	15	2
chr14	25877430	25877432	3	2
chr14	30687109	30687131	23	2
chr14	32889085	32889103	19	2
chr14	34766973	34766989	17	2
chr14	39983221	39983237	17	2
chr14	40558091	40558132	42	2
chr14	42366292	42366308	17	2
chr14	45484510	45484526	17	2
chr14	46263798	46263818	21	2
chr14	53638288	53638312	25	2
chr14	62535082	62535103	22	4
chr14	67967761	67967773	13	2
chr14	69879107	69879123	17	2
chr14	72269828	72269848	21	2
chr14	82489830	82489855	26	2
chr14	93577349	93577371	23	2
chr14	93622051	93622075	25	2
chr14	94837478	94837495	18	2
chr14	95079494	95079512	19	2
chr14	95504418	95504430	13	2
chr14	97576325	97576349	25	2
chr14	99984087	100008211	24125	2
chr14	102827978	102827993	16	2
chr14	103454117	103454133	17	2
chr14	104656027	104656038	12	2
chr14	104671291	104671307	17	2
chr14	106385207	106385220	14	2
chr15	26049609	26049622	14	2
chr15	26337204	26337222	19	2
chr15	27936450	27936475	26	2
chr15	33139475	33139489	15	2
chr15	33489241	33489261	21	2
chr15	34340223	34340238	16	2
chr15	37395618	37395633	16	2
chr15	43296542	43296562	21	2
chr15	46010646	46010657	12	2
chr15	48198808	48198823	16	2
chr15	51051083	51051099	17	2
chr15	55974742	55974754	13	2
chr15	59462358	59462373	16	2
chr15	64925027	64925039	13	2
chr15	69923500	69923520	21	2
chr15	73938461	73938476	16	2
chr15	76330262	76330281	20	2
chr15	77912044	77912064	21	3
chr15	78697332	78697340	9	2
chr15	80675253	80675269	17	2
chr15	82351378	82351396	19	2
chr15	84282372	84282396	25	3
chr15	85226640	85226656	17	2
chr15	90482697	90482707	11	2
chr15	91281795	91281810	16	2
chr15	92116629	92116654	26	2
chr15	99987271	100029294	42024	2
chr15	101326618	101326634	17	2
chr16	94585	102796	8212	2
chr16	275797	275814	18	3
chr16	458307	458321	15	2
chr16	988323	1000282	11960	2
chr16	1689381	1689404	24	2
chr16	2269319	2269326	8	2
chr16	6294921	6294941	21	3
chr16	6480123	6480148	26	2
chr16	9975909	10005958	30050	2
chr16	10062119	10062139	21	2
chr16	10910164	10910196	33	2
chr16	11171852	11171865	14	2
chr16	12633846	12633859	14	2
chr16	12671278	12671293	16	3
chr16	20253389	20253414	26	2
chr16	21583865	21583885	21	2
chr16	24308555	24308580	26	2
chr16	24338944	24338960	17	2
chr16	27048423	27048443	21	2
chr16	27839177	27839193	17	2
chr16	33841028	33841042	15	2
chr16	53142423	53142447	25	2
chr16	57930617	57930662	46	2
chr16	58926620	58926638	19	2
chr16	59179335	59179349	15	2
chr16	62884152	62884177	26	2
chr16	67386545	67386565	21	2
chr16	68030902	68030908	7	2
chr16	68235731	68235773	43	2
chr16	73637190	73637206	17	2
chr16	77770927	77770948	22	2
chr16	78916490	78916506	17	2
chr16	80111430	80111441	12	2
chr16	80877516	80877528	13	2
chr16	81461355	81461366	12	2
chr16	85274760	85274800	41	2
chr16	85467194	85467214	21	2
chr16	85854640	85854662	23	3
chr16	88446922	88446936	15	2
chr17	90846	140460	49615	2
chr17	994556	1002709	8154	2
chr17	3016903	3016923	21	2
chr17	7248956	7248979	24	2
chr17	9998701	10021519	22819	2
chr17	10062391	10062412	22	2
chr17	10509614	10509640	27	2
chr17	12285718	12285731	14	2
chr17	15698605	15698625	21	2
chr17	16359398	16359419	22	2
chr17	26869884	26869900	17	2
chr17	33761893	33761916	24	3
chr17	35695038	35695053	16	2
chr17	35734601	35734621	21	2
chr17	37850018	37850033	16	2
chr17	39227237	39227258	22	2
chr17	47184951	47184963	13	2
chr17	48778468	48778493	26	2
chr17	53143556	53143571	16	2
chr17	57947731	57947744	14	2
chr17	63450850	63450862	13	2
chr17	70504028	70504043	16	2
chr17	70608480	70608495	16	2
chr17	70685562	70685580	19	2
chr17	72493147	72493162	16	2
chr17	74183020	74183033	14	2
chr17	80291517	80291552	36	2
chr18	98755	105482	6728	2
chr18	989969	1004585	14617	2
chr18	7909698	7909756	59	2
chr18	9996728	10023642	26915	2
chr18	13996902	13996917	16	2
chr18	26820121	26820137	17	2
chr18	37159998	37160018	21	3
chr18	38121851	38121866	16	2
chr18	44939563	44939593	31	2
chr18	46160072	46160088	17	2
chr18	47041548	47041572	25	2
chr18	54964997	54965017	21	2
chr18	57057405	57057435	31	2
chr18	66275424	66275441	18	2
chr18	67122301	67122311	11	2
chr18	71127076	71127091	16	2
chr18	73371801	73371816	16	2
chr18	76448181	76448194	14	2
chr19	673588	673606	19	2
chr19	749826	749837	12	2
chr19	999276	1001360	2085	2
chr19	1905615	1905642	28	2
chr19	4670504	4670541	38	2
chr19	5696439	5696452	14	2
chr19	5986089	5986101	13	2
chr19	6780123	6780138	16	2
chr19	6838306	6838326	21	2
chr19	8124022	8124037	16	2
chr19	9993192	10025554	32363	2
chr19	16153531	16153551	21	2
chr19	16834487	16834502	16	2
chr19	17576620	17576634	15	2
chr19	22926919	22926934	16	2
chr19	24491158	24491177	20	2
chr19	29492844	29492862	19	2
chr19	37261604	37261624	21	2
chr19	38418161	38418177	17	2
chr19	45817373	45817404	32	2
chr19	48578410	48578426	17	2
chr19	48805072	48805092	21	2
chr19	49530496	49530508	13	2
chr19	49657710	49657725	16	3
chr19	50049319	50049330	12	2
chr19	51290106	51290118	13	2
chr19	52319117	52319148	32	2
chr19	53680789	53680804	16	2
chr19	53806657	53806680	24	3
chr19	54432517	54432531	15	2
chr19	54994002	54994010	9	2
chr19	56258303	56258321	19	2
chr20	63857	102097	38241	2
chr20	972857	1041626	68770	2
chr20	2526320	2526340	21	2
chr20	2780762	2780782	21	2
chr20	4506337	4506357	21	3
chr20	5249410	5249434	25	2
chr20	5673047	5673062	16	2
chr20	9987832	10036086	48255	2
chr20	13374868	13374896	29	2
chr20	19872394	19872404	11	2
chr20	22187166	22187200	35	2
chr20	31057164	31057174	11	2
chr20	32203884	32203908	25	2
chr20	36930862	36930877	16	3
chr20	38998329	38998345	17	2
chr20	39644004	39644019	16	2
chr20	41354697	41354712	16	2
chr20	42493376	42493392	17	3
chr20	46472961	46472989	29	2
chr20	50168233	50168258	26	2
chr20	52118085	52118096	12	2
chr20	52922691	52922707	17	2
chr20	53224420	53224445	26	2
chr20	54980244	54980265	22	2
chr20	57103333	57103347	15	2
chr20	61838224	61838257	34	2
chr21	9854027	10429459	575433	2
chr21	16265567	16265583	17	2
chr21	21672732	21672747	16	2
chr21	22292532	22292551	20	2
chr21	23974874	23974899	26	2
chr21	24350072	24350084	13	2
chr21	24654255	24654271	17	2
chr21	25873336	25873351	16	2
chr21	26907150	26907170	21	2
chr21	36720959	36720993	35	2
chr21	39619444	39619460	17	2
chr21	41355714	41355728	15	2
chr21	41638563	41638584	22	2
chr21	42616479	42616527	49	2
chr21	45095724	45095744	21	2
